"id","authorization_id","captured_amount_usd","is_partial","captured_at","late_capture_at"
"785e5f01-48b2-4c8e-b234-039152161457","920804f1-765d-47ee-8c1f-45c52f2c799e",48.46,"false","2025-02-13 01:59:12 UTC",""
"af28ff16-0b0b-491b-b084-7552155c55c5","7f6596dd-a1fc-4764-afa5-af0f66d57a5d",45.87,"false","2025-02-19 07:12:09 UTC",""
"44a768c9-54f1-4c4d-97f3-16309239995a","bf49275c-d81c-4509-9900-aac7516d2d45",42.99,"false","2025-02-01 02:17:34 UTC",""
"9d6ce8d5-4eaf-4b6d-9564-413fe552a09d","7c4ee956-d828-486e-83e3-c660ad5860fb",51.2,"false","2025-01-09 08:40:03 UTC",""
"ed367c3e-1fad-4240-b07b-5298123b7a3f","d890ae21-27cf-4ff1-990b-2f1ba24087e6",28.34,"false","2025-01-23 07:39:40 UTC",""
"d97d9cb1-990a-43f1-8b82-6849bc49f31a","f326e40d-2054-4f3f-a397-396ed1bf748d",33.8,"false","2025-02-22 06:21:16 UTC",""
"36669c25-74cf-4daa-bdca-94bfd30b39d0","8d0bb3b5-7ec0-4cef-b199-2e7572a4ce43",17.22,"false","2025-01-23 07:52:28 UTC",""
"b44908c6-23ff-4858-b446-e394e6392001","47e9f625-923f-426c-a4a3-c913b1abcb49",22.09,"false","2025-02-27 10:20:20 UTC",""
"af4a9f59-5a26-41d9-9634-af48a3fd81ed","607e5f62-c6ee-4165-b391-d741a15518ca",48.57,"false","2025-01-12 08:42:02 UTC",""
"9f7054f0-314c-4653-9493-9dc7cfecadd2","d0aa06b8-1377-4160-9a4d-22d313dfc5dd",24.1,"false","2025-02-16 00:09:51 UTC",""
"c121a26a-39a0-4502-bd83-4b3e07fdc088","2e11dcca-de28-415e-91c4-5248ff5fde59",27.35,"false","2025-01-06 23:24:33 UTC",""
"d4ad55a1-cec5-418a-81af-e610d7f46ae7","ce40b7ae-ff24-4f8a-8706-e2fc3c008082",39.41,"false","2025-02-23 17:28:44 UTC",""
"2bccf981-7123-4870-8146-a5a2dd81b0ea","9c3779d5-c6d5-4bca-bf69-fb51a7d683a3",2.83,"false","2025-02-08 22:29:45 UTC",""
"2eec700d-021f-4bd9-ad91-b388f4ef961b","9cd7bcb4-0cef-4922-b9c3-3b9ad3020d2f",50.55,"false","2025-01-04 14:19:42 UTC",""
"1e8c602c-a8c7-4f71-afac-ac7d9838c03f","3c4b9dbb-09ca-415b-a50c-6df4d80ecdc3",6.38,"false","2025-01-31 17:50:06 UTC",""
"da005512-24ed-44ac-a8a8-6073fc7f9540","c436e51f-f2a5-4155-b0ad-26f7628e3888",4.6,"false","2025-02-18 21:36:51 UTC",""
"e5a6efc0-b6aa-4b87-8348-7f9cd0039ea1","f3bd6d78-4fef-4ee7-86c2-2ae3918859ea",24.44,"false","2025-02-28 02:36:20 UTC",""
"c1ca3f2c-3c80-4610-9f1e-82fbd7be6bde","83db165c-daef-4da6-835b-07f1a807d4ea",52.18,"false","2025-02-06 03:41:17 UTC",""
"58e345e9-6f3f-4219-8710-2ad20b25a80c","7a957aff-6f78-498a-b2cd-fe99b97293ff",39.09,"false","2025-02-19 11:42:05 UTC",""
"50a375ee-51e7-4c59-acdd-efd12140bb4e","3f08576b-8553-4977-a51a-b5f468047154",55.46,"false","2025-01-24 16:55:39 UTC",""
"d25aaad0-7333-45b1-81a1-88901d787d04","3095882e-8ee5-4c13-a436-ecc24b231401",39.2,"false","2025-02-06 07:53:24 UTC",""
"1504114f-9700-4fe4-9d61-b31590d44e0a","0095982a-ae85-45aa-bafd-ed665b877073",28.08,"false","2025-02-27 13:47:15 UTC",""
"3fb4c1e9-8925-4d02-adec-8ae976c3c876","3de6dbf3-cc92-415e-aa72-d18ac8faa238",16.41,"false","2025-01-18 23:27:55 UTC",""
"9adc98d9-0120-4039-9082-8a9d40f56d6e","b5675ae2-7498-4689-86ce-bcea69965067",30.93,"false","2025-02-20 17:20:47 UTC",""
"a5c7024f-bf67-4dc9-980e-00bc94c1eb39","4540ff9c-b9cf-44e2-b83d-34b2761a4c5f",44.28,"false","2025-02-03 07:01:17 UTC",""
"2a99792a-0755-46ee-99ae-0e084b7c57f3","1dda3f95-d6d9-4032-8699-841bc03e8252",45.26,"false","2025-01-28 04:52:55 UTC",""
"cf86f761-58fc-4e9d-9952-5d0d98b48ac7","880e6e71-e6c2-485d-a982-47e3cd49d67b",7.38,"false","2025-02-09 01:51:17 UTC",""
"2d688157-b0e1-4003-9daa-d6b6f7cbfee7","8b6634a1-69a1-4754-92f1-a206bd38df69",25.71,"false","2025-02-09 22:10:01 UTC",""
"e884bd64-eca9-4e2a-b3fb-e0e80fdde1b7","b698a629-d9a8-4a51-b506-f7bd0eb595ec",39.02,"false","2025-01-05 03:42:54 UTC",""
"91eab2d4-2768-4cd2-9bfa-bc0d2df6e5f6","d2fbe74d-3ab0-4758-9071-13323021f5e8",40.16,"false","2025-02-12 09:04:18 UTC",""
"c56b6cab-f766-4917-b99c-f02b31ded2fb","70f3319a-fc00-40fa-899b-6106b0fd808d",33.48,"false","2025-01-18 01:50:19 UTC",""
"c37c0d4f-0d67-46e1-a4ad-48f686c831f6","2a17ff43-4669-4064-a189-c8dd57ffe92e",57.83,"false","2025-01-01 03:26:38 UTC",""
