"id","user_id","bin_range_id","last_four","network_token","card_type","status","created_at","expires_at"
"ad601732-33dd-4b1e-a50f-3252a0e45f62","0bb39cca-57c0-4109-a1e4-d70949261ef1","422a8825-31cf-4665-ba12-5951a1d6865d","5557","75881f12-a99d-4130-a407-1e8d958161a7","credit","active","2023-12-16 21:51:48 UTC","2027-12-15 21:51:48 UTC"
"58fc13cb-2f38-4182-9d16-52a2dea9fccd","d6840919-c9e0-4749-9e50-532615619217","5f31214b-1c97-4a1e-893e-bb1b66aab790","5552","4f647d81-b7dc-415d-a8c0-be0c0080687f","debit","active","2023-09-23 06:43:45 UTC","2027-09-22 06:43:45 UTC"
"9ab17d31-6ed5-4dc9-8f60-2f4806a4388e","f96dbaff-b9be-47a5-b04c-eb1b90e309e7","041bd7c6-b3d5-412f-96b2-1212185f6b28","2584","de71cb34-03ef-4135-be99-b8bc25ad224c","debit","active","2023-10-24 02:21:29 UTC","2027-10-23 02:21:29 UTC"
"fb591b0e-a57a-4d08-ae76-9633d23435f7","11e4a4ea-095c-495e-a3a8-752a7a82a987","53a4c2b8-92cf-4801-9947-24d631137907","8527","b31b7930-a9d2-41ce-b996-7204cbd77d5a","credit","active","2024-07-21 19:11:11 UTC","2028-07-20 19:11:11 UTC"
"8842d998-041b-4fba-85c1-a390aedce349","4d953c2d-d26a-42ab-ae16-1ea9bad69ff7","67b88291-7575-495e-bc39-2f2d02ce5215","6925","90830f33-9652-48d9-872f-6747c506f14b","debit","active","2024-05-04 06:41:42 UTC","2028-05-03 06:41:42 UTC"
"6d5a2882-0b5b-4298-a4e6-d4ad3e6a5005","21fb7af9-b5b7-4c90-932d-76d6f44a0345","5f31214b-1c97-4a1e-893e-bb1b66aab790","2307","84ca953f-33ba-4b07-9f4a-d4c40887e28a","debit","active","2023-08-14 18:34:57 UTC","2027-08-13 18:34:57 UTC"
"64e48b49-4e99-41a5-88e3-71d7f540cb07","4a7471bc-34d7-4a35-89ac-f25e0724edd4","922d70c4-cf74-4a0d-84ce-43b02ef51fac","6977","81206e18-84a3-4f2d-8bbf-14753cd84ed1","credit","active","2023-12-20 04:10:50 UTC","2027-12-19 04:10:50 UTC"
"fa903bec-ab55-456f-917c-09f73f86c4c1","675b6f31-5e19-4741-906d-127eb30c359b","041bd7c6-b3d5-412f-96b2-1212185f6b28","2169","bcfce7d7-c340-4d75-9723-5d003ded46cd","debit","active","2024-06-30 02:52:43 UTC","2028-06-29 02:52:43 UTC"
"e5b306ff-1bf1-4db7-ab48-2236dedbd96f","0a36974b-3045-461e-b986-72a4ffacb43d","03926551-2e6d-4f90-b037-28268ed14251","7216","3178bbeb-1074-4f74-b6be-347bb40f557c","debit","active","2023-12-27 01:09:17 UTC","2027-12-26 01:09:17 UTC"
"0e16bba0-6a62-4e6a-a8a9-5a5183e7d291","a3273876-0804-4459-b3a0-b1807ec4d44e","7a85a159-e5bc-4541-9326-945458514e5a","1916","ab600bf0-5ae1-4b48-8169-0f259bc0fd7d","debit","active","2024-08-20 18:24:11 UTC","2028-08-19 18:24:11 UTC"
"7b941df6-cded-41dc-b50a-75d02f5a70f3","a0ebf15b-7c65-4f81-9c44-f7aa42b60e99","922d70c4-cf74-4a0d-84ce-43b02ef51fac","2084","44ba6c58-5a11-4c22-8f26-9def6b9ec274","credit","active","2023-07-28 23:03:06 UTC","2027-07-27 23:03:06 UTC"
"dd0395e6-f621-4e6d-817e-92c7be970183","da67fc0b-b4be-4129-aaf1-79fb0cfb8325","422a8825-31cf-4665-ba12-5951a1d6865d","9179","6de5d50c-add7-4e1d-aae7-9e2391b868cc","credit","active","2024-05-25 02:15:44 UTC","2028-05-24 02:15:44 UTC"
"fd69eba4-620e-4254-8e4e-1960e71031a6","a5b6a96a-ffea-4ced-9793-0f4377a854fd","67b88291-7575-495e-bc39-2f2d02ce5215","5040","2dd95ac4-4ce9-49c6-94cd-c73794f4f1b0","debit","active","2023-04-20 10:53:52 UTC","2027-04-19 10:53:52 UTC"
"b3918a10-0795-400d-bb6c-7db58c2378f5","aefb3f11-8856-4692-8373-f89d27175d84","47722120-8a5f-4117-ae47-3e451783a5f4","7543","1bc90a06-91fa-44f8-9b8f-aa7376d7ab27","credit","active","2024-03-30 05:50:31 UTC","2028-03-29 05:50:31 UTC"
"fffe3c08-7785-4f85-8d6f-49b262436679","ccd3ad85-1051-4f36-aa54-cfecc0761ffa","619d8606-81f9-46c8-ba43-112364b11471","1771","364391fb-9c37-4cc3-a76d-df6f8f353429","credit","active","2024-08-11 00:48:02 UTC","2028-08-10 00:48:02 UTC"
"2993d441-e97b-4fdd-93e4-1df196c108a8","5c4923c1-a99b-40f9-932d-6569b7782c55","03926551-2e6d-4f90-b037-28268ed14251","2040","63dd1b3d-7a72-41e0-9fa6-ee2f0bdafbd2","debit","active","2024-04-09 05:52:12 UTC","2028-04-08 05:52:12 UTC"
"b23bae8a-00e1-40b3-8deb-f5ed3b94ff11","eeedea1e-d14e-408b-b920-f4bbf14b53a9","47722120-8a5f-4117-ae47-3e451783a5f4","1188","167a8baa-0e3b-4028-b2c9-ad718aeea298","credit","active","2024-03-06 16:52:41 UTC","2028-03-05 16:52:41 UTC"
"59d10cff-69c2-4aa2-a2bf-a0f877e11ff4","216b3c46-bc5c-47ca-995f-09ecbbf09a1b","922d70c4-cf74-4a0d-84ce-43b02ef51fac","5808","e053dc7d-e673-4636-8c64-5d18d1908b7b","credit","active","2023-03-29 15:28:59 UTC","2027-03-28 15:28:59 UTC"
"6370bebc-c976-4bce-a793-208945ba46f1","4f54fa22-4f18-4b28-8ace-f8a9bdf7be5c","67b88291-7575-495e-bc39-2f2d02ce5215","3927","371a8d49-4be0-4c5e-97b7-e557f1b6d4e8","debit","active","2024-01-25 19:36:05 UTC","2028-01-24 19:36:05 UTC"
"b065220f-91c8-4fb0-82b7-3f06ac9d576b","e30068d6-b68d-4850-8302-ec7555405915","922d70c4-cf74-4a0d-84ce-43b02ef51fac","7126","9bfa158e-4bed-4de3-ae13-d17a2e4f6f8b","credit","active","2023-04-30 17:07:49 UTC","2027-04-29 17:07:49 UTC"
"17c2f60a-2814-448d-87cb-3178aff6bb0f","10392a9b-6303-422e-9d71-b55805053ded","7a85a159-e5bc-4541-9326-945458514e5a","1319","1a59f378-5b93-4776-b82d-01bfe50e193c","debit","active","2024-01-16 12:16:14 UTC","2028-01-15 12:16:14 UTC"
"d1fb07a6-a725-4956-a1dc-35b149becccd","caabc920-345b-4c62-95df-5eda82a0d57b","53a4c2b8-92cf-4801-9947-24d631137907","4946","dc79cbde-8fbd-4217-b271-aa7fa4bd3bd4","credit","active","2023-02-15 23:48:12 UTC","2027-02-14 23:48:12 UTC"
"d6cd5389-2cc2-49f6-acee-853799e454b8","ff69b079-ee99-4ea6-981c-2077f26735c5","5f31214b-1c97-4a1e-893e-bb1b66aab790","9727","6f575374-9766-4fec-b678-bb04b3f9ae7e","debit","active","2023-02-24 18:12:53 UTC","2027-02-23 18:12:53 UTC"
"0d64b3c7-8bb5-45cd-9cf8-ba425ad5069a","159ca816-faa8-466a-8a9d-a144af990b6d","619d8606-81f9-46c8-ba43-112364b11471","9645","15bc0837-78c7-4fc8-976b-72233e1eb88b","credit","active","2023-07-26 21:00:49 UTC","2027-07-25 21:00:49 UTC"
