"id","payment_intent_id","acquirer_id","attempt_number","routing_reason","response_code","decline_code","decline_type","retried","attempted_at"
"e65c5bd6-311a-420a-adc1-6c967e6dfd97","ee994d72-ad39-494a-9200-728a3d4825a9","940415b3-352f-478d-bf9d-37fd08a9c321",1,"primary","00","","","false","2025-02-13 01:55:03 UTC"
"d62d3e7c-73de-47a1-b56e-c5b68740e057","c4a0a3b5-3868-496b-aca3-9b8c223c3f13","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-02-19 07:06:54 UTC"
"104c59ac-1b06-4af1-b1c5-8de918841fb4","db59750c-43ba-4a53-9010-ec0d9dc5f639","940415b3-352f-478d-bf9d-37fd08a9c321",1,"primary","00","","","false","2025-02-01 02:10:50 UTC"
"579624e2-b3f8-4ad0-824b-2dac3c181ee4","4b945a88-e300-4304-a27b-6fc5958f896b","940415b3-352f-478d-bf9d-37fd08a9c321",1,"primary","00","","","false","2025-01-09 08:37:14 UTC"
"18be05c8-8e4d-4410-b36d-e8dbee3a009f","3fadf17d-f46d-4279-b4e6-4650e359609e","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-01-23 07:33:35 UTC"
"d3354398-8bfb-4e8c-a29e-7345408d990c","6d1e1a89-1751-4ca2-9bdb-4f132dc31fc4","eba16449-06a9-40e4-b0ef-58c32eb82786",1,"primary","00","","","false","2025-02-22 06:19:49 UTC"
"c3cc4649-68e3-4d53-8a80-9f2db44ca1d9","60cbb4f4-a7c8-49b1-a1ad-b8ecbe428565","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-01-02 02:20:50 UTC"
"4a18b0dd-bd99-48af-8b41-ea7896893d93","27576060-21dd-441a-87b9-5eb13dcd78f5","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-01-23 07:49:03 UTC"
"01fc5f63-292f-4083-8a84-89a3a492fe5e","39ebd662-3ba4-415b-8442-b31f44704614","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-02-21 19:47:38 UTC"
"6b5cd60b-1300-42f5-829a-510596692535","8d0869fd-4da1-4206-bb0c-8cbd597a2de5","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-02-27 10:13:42 UTC"
"6c25cca9-356b-4501-9de9-458904f0d716","11037ba8-514e-4203-b969-eecb71e12d8f","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-01-12 08:36:45 UTC"
"8391216d-5e16-4c12-b907-19cf927bbcd8","30e78599-b477-410b-af02-273fee2c1e86","eba16449-06a9-40e4-b0ef-58c32eb82786",1,"primary","61","61","hard","false","2025-02-09 07:20:06 UTC"
"7f43b764-f44e-44c6-8b30-849861a80507","4bd33111-eb3f-493f-9adc-a8463dda93de","940415b3-352f-478d-bf9d-37fd08a9c321",1,"primary","05","05","hard","false","2025-02-01 23:38:09 UTC"
"c2619635-c442-45b8-acdd-301cb8826438","44fb4e4a-84e4-4c07-ac61-87c44122394f","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-02-16 00:03:55 UTC"
"153b895e-c42b-4570-b323-c873c09c3bd0","c7659c68-ce79-4946-a667-0a4994faae41","eba16449-06a9-40e4-b0ef-58c32eb82786",1,"primary","00","","","false","2025-01-06 23:16:08 UTC"
"95ba76d2-c41d-4663-9dd0-4ba4fddd3a95","1a9d6ea3-5322-4f5d-bf4d-ae488ef53aaa","940415b3-352f-478d-bf9d-37fd08a9c321",1,"primary","00","","","false","2025-02-23 17:27:27 UTC"
"81189481-9eea-4836-87e0-eb3a802ce7d3","a0ae6404-b126-41c3-96de-1b8c24ff13ed","940415b3-352f-478d-bf9d-37fd08a9c321",1,"primary","00","","","false","2025-02-08 22:20:31 UTC"
"78e42309-b49b-444d-88da-6ff2714575de","c43fc432-68e2-439e-bdef-62b908c9e275","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-01-04 14:18:18 UTC"
"67e90c22-bead-4774-b1df-197681ae4cd6","a3b477db-2384-4579-af3d-3719c216407b","940415b3-352f-478d-bf9d-37fd08a9c321",1,"primary","00","","","false","2025-01-31 17:48:26 UTC"
"18502c18-7e5d-496b-9703-30f45bc33937","33cf9263-af01-4ab0-8922-40a9d7d9f60e","940415b3-352f-478d-bf9d-37fd08a9c321",1,"primary","00","","","false","2025-02-18 21:28:16 UTC"
"872fbb10-28f7-4bd4-aaf5-37acb4ade02a","634a70bf-8e0a-4ea9-9bb6-02b0cfed7c2f","eba16449-06a9-40e4-b0ef-58c32eb82786",1,"primary","51","51","soft","false","2025-02-09 05:22:06 UTC"
"c6a36f63-3e37-4099-89af-83bdeac79110","9b692917-bacc-48d8-b9df-d525da2d9cc4","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-02-28 02:26:23 UTC"
"876fc09f-ef70-43da-9177-94ac9717a951","1510a969-644e-4589-bafe-f6623c0cc672","093be607-90a6-4125-92fb-eabeae4cbf6a",1,"primary","00","","","false","2025-02-06 03:40:37 UTC"
